timestamp_s,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,gx_raw,gy_raw,gz_raw,ax_raw,ay_raw,az_raw
0.011845,0.219911,0.036652,0.190590,8.274813,-1.028068,6.413758,180,30,156,6914,-859,5359
0.012198,0.241902,0.020769,0.122173,8.260452,-0.975408,6.364689,198,17,100,6902,-815,5318
0.012533,0.189368,0.119729,0.243124,8.301144,-1.013707,6.419742,155,98,199,6936,-847,5364
0.012853,0.180816,0.081856,0.273667,8.240106,-1.012510,6.295273,148,67,224,6885,-846,5260
0.013172,0.211359,0.051313,0.167377,8.311915,-0.909583,6.345540,173,42,137,6945,-760,5302
0.013513,0.227242,0.067195,0.190590,8.366969,-0.938307,6.352721,186,55,156,6991,-784,5308
0.013863,0.211359,0.059865,0.221133,8.359788,-0.761178,6.268943,173,49,181,6985,-636,5238
0.014128,0.180816,0.059865,0.160047,8.334654,-0.836577,6.288092,148,49,131,6964,-699,5254
0.014497,0.196698,0.051313,0.144164,8.238909,-0.740832,6.291683,161,42,118,6884,-619,5257
0.014872,0.173486,0.067195,0.235794,8.315505,-0.712108,6.241416,142,55,193,6948,-595,5215
0.015062,0.135612,0.074525,0.197920,8.286782,-0.789901,6.272534,111,61,162,6924,-660,5241
0.015422,0.142942,0.074525,0.205251,8.207792,-0.806657,6.298864,117,61,168,6858,-674,5263
0.015778,0.218690,0.020769,0.174707,8.216169,-0.731257,6.295273,179,17,143,6865,-611,5260
0.016131,0.189368,0.036652,0.221133,8.303537,-0.762374,6.121734,155,30,181,6938,-637,5115
0.016485,0.204029,-0.001222,0.136834,8.238909,-0.691762,6.157639,167,-1,112,6884,-578,5145
0.016838,0.196698,0.059865,0.167377,8.262845,-0.669022,6.187559,161,49,137,6904,-559,5170
0.017037,0.204029,0.067195,0.190590,8.280798,-0.756390,6.133703,167,55,156,6919,-632,5125
0.017425,0.173486,0.074525,0.167377,8.189839,-0.777933,6.140883,142,61,137,6843,-650,5131
0.017790,0.173486,0.097738,0.190590,8.258058,-0.830593,6.193544,142,80,156,6900,-694,5175
0.018156,0.128282,0.074525,0.235794,8.205398,-0.801869,6.109766,105,61,193,6856,-670,5105
0.018352,0.173486,0.006109,0.136834,8.175477,-0.730060,6.048728,142,5,112,6831,-610,5054
0.018722,0.142942,0.020769,0.160047,8.126408,-0.795885,6.009233,117,17,131,6790,-665,5021
0.019061,0.166155,0.051313,0.190590,8.211382,-0.709714,6.053516,136,42,156,6861,-593,5058
0.019376,0.173486,0.043982,0.174707,8.247287,-0.859317,6.021201,142,36,143,6891,-718,5031
0.019691,0.189368,0.036652,0.113621,8.207792,-0.854529,6.040351,155,30,93,6858,-714,5047
0.020019,0.173486,0.051313,0.152716,8.162312,-0.831790,5.960164,142,42,125,6820,-695,4980
0.020189,0.173486,0.036652,0.152716,8.170690,-0.821019,5.946999,142,30,125,6827,-686,4969
0.020517,0.173486,0.043982,0.167377,8.165903,-0.787508,5.923062,142,36,137,6823,-658,4949
0.021042,0.234572,0.043982,0.167377,8.203004,-0.721682,5.808167,192,36,137,6854,-603,4853
0.021235,0.180816,0.067195,0.160047,8.113243,-0.816231,5.736358,148,55,131,6779,-682,4793
0.021596,0.151494,0.074525,0.190590,8.125211,-0.743225,5.767476,124,61,156,6789,-621,4819
0.021957,0.189368,0.020769,0.136834,8.128801,-0.815034,5.706438,155,17,112,6792,-681,4768
0.022150,0.204029,0.043982,0.160047,8.171887,-0.792295,5.787822,167,36,131,6828,-662,4836
0.022521,0.204029,-0.001222,0.144164,8.126408,-0.864104,5.680108,167,-1,118,6790,-722,4746
0.022885,0.166155,0.051313,0.129503,8.118030,-0.776736,5.590346,136,42,106,6783,-649,4671
0.023249,0.227242,0.029322,0.113621,8.152738,-0.823412,5.619070,186,24,93,6812,-688,4695
0.023430,0.180816,0.020769,0.113621,8.194627,-0.742028,5.584362,148,17,93,6847,-620,4666
0.023793,0.142942,0.020769,0.106290,8.155131,-0.726470,5.602314,117,17,87,6814,-607,4681
0.024159,0.189368,0.006109,0.113621,8.124014,-0.756390,5.518537,155,5,93,6788,-632,4611
0.024500,0.151494,0.036652,0.152716,8.167100,-0.722879,5.572394,124,30,125,6824,-604,4656
0.024857,0.158825,0.029322,0.098960,8.152738,-0.721682,5.496994,130,24,81,6812,-603,4593
0.025059,0.166155,0.006109,0.129503,8.104865,-0.701337,5.469467,136,5,106,6772,-586,4570
0.025434,0.196698,-0.001222,0.122173,8.077338,-0.666629,5.435956,161,-1,100,6749,-557,4542
0.025805,0.204029,0.013439,0.129503,8.137179,-0.675006,5.398855,167,11,106,6799,-564,4511
0.026176,0.112399,-0.039095,0.136834,8.140770,-0.673810,5.485026,92,-32,112,6802,-563,4583
0.026369,0.135612,-0.024435,0.182038,8.104865,-0.696549,5.386887,111,-20,149,6772,-582,4501
0.026727,0.142942,-0.017104,0.136834,8.119227,-0.643889,5.402445,117,-14,112,6784,-538,4514
0.027085,0.151494,-0.024435,0.113621,8.208988,-0.670219,5.367738,124,-20,93,6859,-560,4485
0.027277,0.128282,-0.024435,0.122173,8.114440,-0.631921,5.401249,105,-20,100,6780,-528,4513
0.027768,0.083078,-0.076969,0.136834,8.151541,-0.700140,5.335424,68,-63,112,6811,-585,4458
0.027963,0.158825,-0.047647,0.113621,8.098881,-0.603197,5.413217,130,-39,93,6767,-504,4523
0.028295,0.090408,-0.039095,0.106290,8.217366,-0.531388,5.334227,74,-32,87,6866,-444,4457
0.028645,0.083078,-0.031765,0.167377,8.049811,-0.654661,5.257630,68,-26,137,6726,-547,4393
0.029002,0.052534,-0.062308,0.167377,8.078535,-0.643889,5.334227,43,-51,137,6750,-538,4457
0.029352,0.059865,-0.114843,0.061086,8.122817,-0.649873,5.282763,49,-94,50,6787,-543,4414
0.029696,0.052534,-0.047647,0.136834,8.176674,-0.680991,5.492207,43,-39,112,6832,-569,4589
0.030048,0.151494,-0.076969,0.136834,7.989970,-0.566096,5.390477,124,-63,112,6676,-473,4504
0.030244,0.090408,-0.069639,0.136834,8.060583,-0.609181,5.395265,74,-57,112,6735,-509,4508
0.030587,0.074525,-0.107512,0.084299,8.091700,-0.574474,5.488617,61,-88,69,6761,-480,4586
0.030936,0.059865,-0.092851,0.160047,8.144360,-0.630724,5.445531,49,-76,131,6805,-527,4550
0.031287,0.083078,-0.085521,0.174707,8.131195,-0.561309,5.494601,68,-70,143,6794,-469,4591
0.031585,0.045204,-0.076969,0.152716,8.017497,-0.534979,5.510159,37,-63,125,6699,-447,4604
0.031934,0.120951,-0.062308,0.037874,8.051008,-0.606788,5.494601,99,-51,31,6727,-507,4591
0.032284,0.074525,-0.076969,0.167377,8.039040,-0.611575,5.438350,61,-63,137,6717,-511,4544
0.032585,0.120951,-0.100182,0.113621,8.005529,-0.616362,5.491010,99,-82,93,6689,-515,4588
0.032939,0.120951,-0.116064,0.091630,8.082125,-0.616362,5.555638,99,-95,75,6753,-515,4642
0.033288,0.059865,-0.130725,0.160047,8.096487,-0.613969,5.595134,49,-107,131,6765,-513,4675
0.033467,0.083078,-0.138055,0.106290,8.048615,-0.585245,5.529308,68,-113,87,6725,-489,4620
0.033973,0.128282,-0.092851,0.084299,8.064173,-0.635511,5.579575,105,-76,69,6738,-531,4662
0.034325,0.074525,-0.092851,0.160047,8.089306,-0.554128,5.657368,61,-76,131,6759,-463,4727
0.034510,0.105069,-0.123395,0.122173,8.036646,-0.555324,5.595134,86,-101,100,6715,-464,4675
0.034857,0.074525,-0.123395,0.023213,8.080929,-0.518223,5.696863,61,-101,19,6752,-433,4760
0.035203,0.014661,-0.039095,0.113621,8.089306,-0.586442,5.739949,12,-32,93,6759,-490,4796
0.035556,0.052534,-0.085521,0.122173,8.040237,-0.591229,5.692076,43,-70,100,6718,-494,4756
0.035739,0.036652,-0.138055,0.053756,8.052205,-0.673810,5.712422,30,-113,44,6728,-563,4773
0.036085,-0.001222,-0.107512,0.122173,8.041434,-0.592426,5.768672,-1,-88,100,6719,-495,4820
0.036418,0.090408,-0.123395,0.129503,8.017497,-0.628331,5.818939,74,-101,106,6699,-525,4862
0.036757,0.052534,-0.161268,0.122173,7.907390,-0.653464,5.774657,43,-132,100,6607,-546,4825
0.037101,0.006109,-0.123395,0.061086,7.937310,-0.621150,5.809364,5,-101,50,6632,-519,4854
0.037418,0.059865,-0.085521,0.106290,7.897815,-0.659448,5.743539,49,-70,87,6599,-551,4799
0.037762,0.045204,-0.116064,0.113621,7.956459,-0.630724,5.911094,37,-95,93,6648,-527,4939
0.037949,0.006109,-0.138055,0.068417,7.999545,-0.748013,5.827317,5,-113,56,6684,-625,4869
0.038295,0.021991,-0.092851,0.084299,7.963640,-0.657054,5.907504,18,-76,69,6654,-549,4936
0.038638,0.120951,-0.153938,0.091630,7.966034,-0.765965,5.920669,99,-126,75,6656,-640,4947
0.038982,0.052534,-0.138055,0.113621,7.930129,-0.684581,5.883567,43,-113,93,6626,-572,4916
0.039324,0.059865,-0.123395,0.007330,7.958853,-0.701337,5.956573,49,-101,6,6650,-586,4977
0.039666,0.074525,-0.123395,0.136834,7.913374,-0.737241,5.876386,61,-101,112,6612,-616,4910
0.040008,0.074525,-0.145386,0.122173,7.972018,-0.672613,5.935030,61,-119,100,6661,-562,4959
0.040188,0.105069,-0.138055,0.061086,7.995954,-0.770752,5.980510,86,-113,50,6681,-644,4997
0.040534,0.029322,-0.100182,0.053756,7.970821,-0.748013,5.970935,24,-82,44,6660,-625,4989
0.040877,-0.001222,-0.047647,0.152716,7.961247,-0.770752,6.041547,-1,-39,125,6652,-644,5048
0.041206,0.021991,-0.123395,0.106290,7.925342,-0.719289,6.070271,18,-101,87,6622,-601,5072
0.041599,0.029322,-0.145386,0.046426,7.956459,-0.762374,5.974525,24,-119,38,6648,-637,4992
0.041767,-0.015882,-0.123395,0.113621,8.006726,-0.783917,6.041547,-13,-101,93,6690,-655,5048
0.042093,0.029322,-0.116064,0.113621,7.997151,-0.712108,6.010430,24,-95,93,6682,-595,5022
0.042405,0.052534,-0.145386,0.061086,8.023481,-0.743225,5.943408,43,-119,50,6704,-621,4966
0.042721,0.045204,-0.116064,0.098960,7.943294,-0.769555,6.083436,37,-95,81,6637,-643,5083
0.043043,0.097738,-0.138055,0.106290,8.012710,-0.745619,5.937424,80,-113,87,6695,-623,4961
0.043361,0.097738,-0.116064,0.091630,7.945688,-0.678597,5.997265,80,-95,75,6639,-567,5011
0.043676,0.021991,-0.085521,0.053756,7.962443,-0.671416,5.999659,18,-70,44,6653,-561,5013
0.043991,0.083078,-0.130725,0.098960,7.918161,-0.763571,6.024792,68,-107,81,6616,-638,5034
0.044305,0.083078,-0.153938,0.084299,7.961247,-0.672613,6.052319,68,-126,69,6652,-562,5057
0.044775,0.074525,-0.130725,0.068417,7.937310,-0.710911,6.042744,61,-107,56,6632,-594,5049
0.045091,0.052534,-0.116064,0.098960,7.944491,-0.715698,5.979313,43,-95,81,6638,-598,4996
0.045403,-0.023213,-0.069639,0.167377,7.943294,-0.823412,6.028382,-19,-57,137,6637,-688,5037
0.045748,0.021991,-0.153938,0.046426,7.927736,-0.810247,5.984100,18,-126,38,6624,-677,5000
0.046074,0.052534,-0.085521,0.084299,7.901406,-0.774343,6.030776,43,-70,69,6602,-647,5039
0.046396,0.059865,-0.130725,0.144164,7.912177,-0.698943,5.942211,49,-107,118,6611,-584,4965
0.046732,0.045204,-0.130725,0.037874,7.876272,-0.773146,6.046335,37,-107,31,6581,-646,5052
0.047055,0.006109,-0.069639,0.068417,7.936113,-0.761178,5.986494,5,-57,56,6631,-636,5002
0.047374,0.021991,-0.069639,0.113621,7.925342,-0.770752,6.023595,18,-57,93,6622,-644,5033
0.047713,0.036652,-0.107512,0.068417,7.831990,-0.725273,5.943408,30,-88,56,6544,-606,4966
0.048034,0.052534,-0.107512,0.061086,7.855926,-0.787508,5.952983,43,-88,50,6564,-658,4974
0.048352,0.036652,-0.130725,0.106290,7.885847,-0.762374,6.031973,30,-107,87,6589,-637,5040
0.048669,0.021991,-0.107512,0.084299,7.790101,-0.801869,6.052319,18,-88,69,6509,-670,5057
0.048984,0.029322,-0.138055,0.084299,7.837974,-0.828199,5.986494,24,-113,69,6549,-692,5002
0.049316,0.021991,-0.138055,0.098960,7.866698,-0.763571,5.924259,18,-113,81,6573,-638,4950
0.049576,0.036652,-0.107512,0.106290,7.900209,-0.812641,5.957770,30,-88,87,6601,-679,4978
0.049904,0.052534,-0.161268,0.046426,7.835581,-0.757587,5.936227,43,-132,38,6547,-633,4960
0.050379,-0.015882,-0.130725,0.152716,7.834384,-0.823412,5.972132,-13,-107,125,6546,-688,4990
0.050701,0.006109,-0.085521,0.113621,7.859517,-0.823412,5.999659,5,-70,93,6567,-688,5013
0.050868,-0.001222,-0.123395,0.122173,7.960050,-0.785114,6.017611,-1,-101,100,6651,-656,5028
0.051339,0.006109,-0.138055,0.098960,7.921752,-0.834184,6.043941,5,-113,81,6619,-697,5050
0.051656,-0.015882,-0.085521,0.091630,7.893028,-0.890434,6.027186,-13,-70,75,6595,-744,5036
0.051972,0.052534,-0.092851,0.084299,7.907390,-0.850939,6.072665,43,-76,69,6607,-711,5074
0.052292,0.006109,-0.123395,0.122173,7.896618,-0.872482,6.045138,5,-101,100,6598,-729,5051
0.052702,-0.001222,-0.123395,0.106290,7.946885,-0.834184,6.059500,-1,-101,87,6640,-697,5063
0.052877,0.014661,-0.100182,0.091630,7.894225,-0.910780,6.055909,12,-82,75,6596,-761,5060
0.053204,0.036652,-0.153938,0.098960,7.858320,-0.861710,6.082239,30,-126,81,6566,-720,5082
0.053545,-0.023213,-0.145386,0.152716,7.890634,-0.855726,6.022398,-19,-119,125,6593,-715,5032
0.054024,-0.001222,-0.130725,0.084299,7.978002,-0.897615,6.120537,-1,-107,69,6666,-750,5114
0.054198,0.021991,-0.100182,0.046426,7.934917,-0.779130,6.157639,18,-82,38,6630,-651,5145
0.054521,0.036652,-0.153938,0.098960,7.877469,-0.885647,6.152852,30,-126,81,6582,-740,5141
0.054702,-0.039095,-0.076969,0.113621,7.897815,-0.909583,6.090617,-32,-63,93,6599,-760,5089
0.055189,0.029322,-0.138055,0.129503,7.955263,-0.882056,6.114553,24,-113,106,6647,-737,5109
0.055513,0.067195,-0.116064,0.106290,7.871485,-0.864104,6.157639,55,-95,87,6577,-722,5145
0.055833,0.067195,-0.123395,0.129503,7.948082,-0.889237,6.126522,55,-101,106,6641,-743,5119
0.056164,0.052534,-0.085521,0.098960,7.961247,-0.892828,6.210299,43,-70,81,6652,-746,5189
0.056484,0.021991,-0.085521,0.129503,7.983986,-0.871285,6.120537,18,-70,106,6671,-728,5114
0.056797,0.059865,-0.138055,0.106290,7.934917,-0.886844,6.116947,49,-113,87,6630,-741,5111
0.057110,0.014661,-0.069639,0.106290,7.974412,-0.907190,6.140883,12,-57,87,6663,-758,5131
0.057400,0.045204,-0.069639,0.106290,7.968428,-0.789901,6.131309,37,-57,87,6658,-660,5123
0.057718,0.014661,-0.076969,0.167377,8.036646,-0.856923,6.121734,12,-63,137,6715,-716,5115
0.058033,0.052534,-0.092851,0.160047,8.027072,-0.785114,6.161229,43,-76,131,6707,-656,5148
0.058346,0.036652,-0.092851,0.091630,7.992364,-0.843758,6.158836,30,-76,75,6678,-705,5146
0.058650,0.097738,-0.092851,0.182038,8.012710,-0.748013,6.066681,80,-76,149,6695,-625,5069
0.058978,0.112399,-0.168599,0.152716,8.047418,-0.721682,6.119341,92,-138,125,6724,-603,5113
0.059294,0.029322,-0.100182,0.152716,8.077338,-0.800673,6.104979,24,-82,125,6749,-669,5101
0.059610,0.059865,-0.085521,0.091630,8.066567,-0.844955,6.180378,49,-70,75,6740,-706,5164
0.059932,0.021991,-0.130725,0.160047,8.088110,-0.775539,6.154048,18,-107,131,6758,-648,5142
0.060260,0.021991,-0.100182,0.136834,8.083322,-0.696549,6.200724,18,-82,112,6754,-582,5181
0.060557,0.006109,-0.069639,0.091630,8.056992,-0.629527,6.156442,5,-57,75,6732,-526,5144
0.060873,-0.023213,-0.085521,0.182038,8.119227,-0.645086,6.069074,-19,-70,149,6784,-539,5071
0.061205,0.067195,-0.092851,0.136834,8.131195,-0.606788,6.164820,55,-76,112,6794,-507,5151
0.061682,0.090408,-0.085521,0.037874,8.151541,-0.618756,6.154048,74,-70,31,6811,-517,5142
0.062005,0.083078,-0.107512,0.068417,8.181462,-0.600804,6.114553,68,-88,56,6836,-502,5109
0.062322,0.059865,-0.116064,0.106290,8.155131,-0.697746,6.183969,49,-95,87,6814,-583,5167
0.062644,0.090408,-0.107512,0.061086,8.133589,-0.597213,6.143277,74,-88,50,6796,-499,5133
0.062974,0.059865,-0.062308,0.098960,8.212579,-0.618756,6.098995,49,-51,81,6862,-517,5096
0.063290,0.067195,-0.076969,0.152716,8.119227,-0.574474,6.133703,55,-63,125,6784,-480,5125
0.063564,0.090408,-0.062308,0.106290,8.213776,-0.477531,6.156442,74,-51,87,6863,-399,5144
0.063887,0.074525,-0.062308,0.091630,8.186249,-0.537372,6.116947,61,-51,75,6840,-449,5111
0.064204,0.083078,-0.130725,0.113621,8.244893,-0.508649,6.140883,68,-107,93,6889,-425,5131
0.064519,0.097738,-0.153938,0.098960,8.176674,-0.444020,6.113357,80,-126,81,6832,-371,5108
0.064836,0.112399,-0.100182,0.075747,8.157525,-0.430855,6.103782,92,-82,62,6816,-360,5100
0.065164,0.105069,-0.054978,0.174707,8.192233,-0.506255,6.101388,86,-45,143,6845,-423,5098
0.065486,0.097738,-0.069639,0.113621,8.179068,-0.512239,6.185166,80,-57,93,6834,-428,5168
0.065808,0.112399,-0.069639,0.068417,8.319096,-0.556521,6.222267,92,-57,56,6951,-465,5199
0.066125,0.090408,-0.069639,0.068417,8.194627,-0.426068,6.128915,74,-57,56,6847,-356,5121
0.066559,0.105069,-0.062308,0.160047,8.235318,-0.421281,6.148064,86,-51,131,6881,-352,5137
0.066720,0.112399,-0.076969,0.106290,8.303537,-0.461973,6.215086,92,-63,87,6938,-386,5193
0.067034,0.083078,-0.062308,0.084299,8.277207,-0.428462,6.166017,68,-51,69,6916,-358,5152
0.067515,0.090408,-0.085521,0.091630,8.077338,-0.503861,6.170804,74,-70,75,6749,-421,5156
0.067842,0.105069,-0.092851,0.098960,8.309521,-0.398541,6.166017,86,-76,81,6943,-333,5152
0.068275,0.105069,-0.062308,0.075747,8.246090,-0.493090,6.126522,86,-51,62,6890,-412,5119
0.068413,0.083078,-0.039095,0.113621,8.274813,-0.455988,6.204315,68,-32,93,6914,-381,5184
0.068733,0.083078,-0.076969,0.084299,8.252074,-0.447611,6.229448,68,-63,69,6895,-374,5205
0.069081,0.097738,-0.085521,0.061086,8.225744,-0.406919,6.230645,80,-70,50,6873,-340,5206
0.069418,0.105069,-0.062308,0.061086,8.229334,-0.444020,6.121734,86,-51,50,6876,-371,5115
0.069739,0.052534,-0.076969,0.122173,8.323883,-0.457185,6.156442,43,-63,100,6955,-382,5144
0.070061,0.112399,-0.085521,0.084299,8.240106,-0.490696,6.122931,92,-70,69,6885,-410,5116
0.070383,0.083078,-0.092851,0.084299,8.270026,-0.490696,6.140883,68,-76,69,6910,-410,5131
0.070698,0.036652,-0.092851,0.053756,8.268829,-0.594820,6.149261,30,-76,44,6909,-497,5138
0.071030,0.112399,-0.107512,0.015882,8.180265,-0.618756,6.216283,92,-88,13,6835,-517,5194
0.071350,0.083078,-0.024435,0.075747,8.278404,-0.596016,6.198331,68,-20,62,6917,-498,5179
0.071824,0.083078,-0.100182,0.015882,8.224547,-0.578064,6.124128,68,-82,13,6872,-483,5117
0.071984,0.029322,-0.130725,0.015882,8.169493,-0.730060,6.215086,24,-107,13,6826,-610,5193
0.072319,0.052534,-0.062308,0.045204,8.226941,-0.633118,6.154048,43,-51,37,6874,-529,5142
0.072637,0.052534,-0.054978,0.091630,8.185052,-0.652267,6.176788,43,-45,75,6839,-545,5161
0.072953,0.090408,-0.107512,0.037874,8.171887,-0.786311,6.249794,74,-88,31,6828,-657,5222
0.073405,0.090408,-0.046426,0.023213,8.183855,-0.697746,6.265353,74,-38,19,6838,-583,5235
0.073721,0.059865,0.006109,0.106290,8.106062,-0.707321,6.243810,49,5,87,6773,-591,5217
0.074033,0.074525,-0.076969,0.037874,8.041434,-0.835380,6.231842,61,-63,31,6719,-698,5207
0.074349,0.036652,-0.069639,0.030543,8.138376,-0.791098,6.252188,30,-57,25,6800,-661,5224
0.074667,0.097738,-0.024435,0.106290,8.144360,-0.829396,6.371870,80,-20,87,6805,-693,5324
0.074989,0.045204,0.006109,0.084299,8.059386,-0.916764,6.349130,37,5,69,6734,-766,5305
0.075310,0.090408,-0.031765,0.068417,8.171887,-0.838971,6.400593,74,-26,56,6828,-701,5348
0.075649,0.105069,0.013439,0.053756,8.046221,-0.818625,6.282108,86,11,44,6723,-684,5249
0.076276,0.105069,-0.008552,0.045204,8.049811,-0.832987,6.331178,86,-7,37,6726,-696,5290
0.076279,0.090408,-0.008552,0.075747,8.120424,-0.928732,6.343146,74,-7,62,6785,-776,5300
0.076720,0.067195,-0.017104,0.023213,8.024678,-0.968227,6.357508,55,-14,19,6705,-809,5312
0.077035,0.029322,0.013439,0.091630,8.144360,-0.916764,6.368279,24,11,75,6805,-766,5321
0.077439,0.045204,-0.001222,0.129503,8.121621,-0.983786,6.359901,37,-1,106,6786,-822,5314
0.077450,0.074525,-0.062308,0.084299,8.037843,-0.871285,6.296470,61,-51,69,6716,-728,5261
0.077865,0.074525,-0.001222,0.061086,8.022284,-1.053202,6.277321,61,-1,50,6703,-880,5245
0.078187,0.097738,0.036652,0.098960,8.061780,-0.992164,6.254581,80,30,81,6736,-829,5226
0.078510,0.052534,0.043982,0.113621,8.042630,-0.990967,6.242613,43,36,93,6720,-828,5216
0.078825,0.090408,-0.024435,0.007330,8.033056,-0.971818,6.212693,74,-20,6,6712,-812,5191
0.079154,0.045204,-0.062308,0.030543,8.070157,-0.980196,6.161229,37,-51,25,6743,-819,5148
0.079476,0.090408,-0.039095,0.091630,8.077338,-0.950275,6.124128,74,-32,75,6749,-794,5117
0.079640,0.097738,-0.062308,0.007330,8.145557,-0.928732,6.183969,80,-51,6,6806,-776,5167
0.080125,0.059865,0.006109,0.061086,7.968428,-0.990967,6.185166,49,5,50,6658,-828,5168
0.080407,0.059865,0.029322,0.068417,8.041434,-0.898812,6.119341,49,24,56,6719,-751,5113
0.080727,0.090408,-0.046426,0.030543,8.016300,-0.884450,6.069074,74,-38,25,6698,-739,5071
0.081106,0.059865,-0.039095,0.075747,8.021088,-0.873679,6.058303,49,-32,62,6702,-730,5062
0.081420,0.067195,0.006109,0.113621,7.927736,-0.891631,6.060696,55,5,93,6624,-745,5064
0.081774,0.083078,-0.001222,0.075747,7.931326,-0.866498,6.126522,68,-1,62,6627,-724,5119
0.081965,0.074525,0.013439,0.084299,7.985183,-0.896418,6.034366,61,11,69,6672,-749,5042
0.082297,0.090408,-0.031765,0.053756,7.894225,-0.920355,6.115750,74,-26,44,6596,-769,5110
0.082621,0.083078,-0.031765,0.068417,7.956459,-0.921551,6.059500,68,-26,56,6648,-770,5063
0.082937,0.045204,0.029322,0.030543,7.903799,-0.852136,6.140883,37,24,25,6604,-712,5131
0.083255,0.052534,0.020769,0.045204,7.879863,-0.878466,6.131309,43,17,37,6584,-734,5123
0.083563,0.029322,0.029322,0.106290,7.878666,-0.783917,6.088223,24,24,87,6583,-655,5087
0.083888,0.059865,-0.031765,0.053756,7.865501,-0.788704,6.079846,49,-26,44,6572,-659,5080
0.084209,0.083078,0.020769,0.106290,7.902602,-0.776736,6.128915,68,17,87,6603,-649,5121
