timestamp_s,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,gx_raw,gy_raw,gz_raw,ax_raw,ay_raw,az_raw
0.000259,0.355523,-0.092851,0.091630,8.607529,-1.547488,6.844614,291,-76,75,7192,-1293,5719
0.000276,0.378736,-0.062308,0.023213,8.576412,-1.592967,6.893683,310,-51,19,7166,-1331,5760
0.000577,0.310319,-0.076969,0.007330,8.400480,-1.740176,6.923604,254,-63,6,7019,-1454,5785
0.001055,0.287106,-0.114843,0.030543,8.424416,-1.758129,7.001397,235,-94,25,7039,-1469,5850
0.001224,0.295659,-0.024435,0.030543,8.335851,-1.835922,6.991822,242,-20,25,6965,-1534,5842
0.001569,0.272446,-0.008552,0.068417,8.472289,-1.869433,6.961902,223,-7,56,7079,-1562,5817
0.001921,0.295659,-0.046426,0.084299,8.374150,-1.892172,6.991822,242,-38,69,6997,-1581,5842
0.002102,0.295659,-0.062308,0.030543,8.290372,-1.887385,7.039695,242,-51,25,6927,-1577,5882
0.002416,0.196698,-0.076969,0.075747,8.344229,-1.894566,6.997807,161,-63,62,6972,-1583,5847
0.002759,0.219911,0.006109,0.098960,8.320293,-1.875417,6.988232,180,5,81,6952,-1567,5839
0.003103,0.272446,-0.062308,0.053756,8.286782,-2.020232,7.007381,223,-51,44,6924,-1688,5855
0.003417,0.173486,0.006109,0.045204,8.293963,-2.013051,7.050467,142,5,37,6930,-1682,5891
0.003761,0.189368,-0.008552,0.061086,8.219760,-2.090845,6.971477,155,-7,50,6868,-1747,5825
0.004114,0.287106,-0.069639,0.037874,8.277207,-1.999886,6.967886,235,-57,31,6916,-1671,5822
0.004306,0.211359,0.020769,0.037874,8.322686,-1.963982,7.012168,173,17,31,6954,-1641,5859
0.004657,0.211359,0.043982,0.084299,8.277207,-1.965178,6.941556,173,36,69,6916,-1642,5800
0.005005,0.173486,0.036652,0.190590,8.242499,-1.972359,6.966689,142,30,156,6887,-1648,5821
0.005357,0.196698,0.006109,0.160047,8.270026,-1.920896,6.905651,161,5,131,6910,-1605,5770
0.005534,0.219911,0.059865,0.091630,8.323883,-1.931667,6.880518,180,49,75,6955,-1614,5749
0.006052,0.249233,-0.001222,0.219911,8.264042,-1.941242,6.936769,204,-1,180,6905,-1622,5796
0.006240,0.204029,0.013439,0.160047,8.214972,-1.889779,6.876928,167,11,131,6864,-1579,5746
0.006570,0.112399,0.081856,0.152716,8.276010,-1.971163,6.797938,92,67,125,6915,-1647,5680
0.006922,0.142942,0.059865,0.182038,8.277207,-1.845496,6.750065,117,49,149,6916,-1542,5640
0.007274,0.204029,0.020769,0.212581,8.252074,-1.889779,6.812299,167,17,174,6895,-1579,5692
0.007671,0.219911,0.020769,0.152716,8.325080,-1.810789,6.677059,180,17,125,6956,-1513,5579
0.007907,0.189368,0.029322,0.144164,8.198217,-1.723421,6.659106,155,24,118,6850,-1440,5564
0.008293,0.196698,0.013439,0.228463,8.248483,-1.663580,6.681846,161,11,187,6892,-1390,5583
0.008484,0.135612,0.067195,0.219911,8.241303,-1.534323,6.660303,111,55,180,6886,-1282,5565
0.008830,0.180816,0.067195,0.122173,8.297553,-1.614510,6.617218,148,55,100,6933,-1349,5529
0.009178,0.166155,0.036652,0.243124,8.272420,-1.456530,6.553786,136,30,199,6912,-1217,5476
0.009656,0.151494,0.059865,0.250455,8.277207,-1.426609,6.525063,124,49,205,6916,-1192,5452
0.010020,0.173486,0.081856,0.212581,8.262845,-1.389508,6.519079,142,67,174,6904,-1161,5447
0.010216,0.227242,0.081856,0.243124,8.297553,-1.338045,6.428120,186,67,199,6933,-1118,5371
0.010616,0.166155,0.051313,0.219911,8.276010,-1.266236,6.498733,136,42,180,6915,-1058,5430
0.010976,0.241902,0.067195,0.144164,8.268829,-1.218363,6.468812,198,55,118,6909,-1018,5405
0.011168,0.219911,0.043982,0.182038,8.291569,-1.127404,6.435301,180,36,149,6928,-942,5377
0.011512,0.173486,0.059865,0.280998,8.301144,-1.114239,6.375460,142,49,230,6936,-931,5327
